"FullName","Name","Length","LastWriteTimeUtc","Attributes"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\AppxMetadata","AppxMetadata",,"2025/11/26 21:09:42","Directory"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Assets","Assets",,"2025/11/26 21:09:42","Directory"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\microsoft.system.package.metadata","microsoft.system.package.metadata",,"2025/11/26 21:09:45","Hidden, System, Directory, NotContentIndexed"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Pages","Pages",,"2025/11/26 21:09:41","Directory"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Strings_Json","Strings_Json",,"2025/11/26 21:09:42","Directory"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32","Win32",,"2025/11/26 21:09:42","Directory"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings.json","appsettings.json","830","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings1.json","appsettings1.json","300","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings2.json","appsettings2.json","304","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_black.json","appsettings_black.json","310","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_LightMaster.json","appsettings_LightMaster.json","303","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_Machenike.json","appsettings_Machenike.json","305","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_MCJ.json","appsettings_MCJ.json","306","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_mechrevo.json","appsettings_mechrevo.json","298","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_monster.json","appsettings_monster.json","307","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\appsettings_white.json","appsettings_white.json","309","2024/11/10 4:59:22","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\AppxBlockMap.xml","AppxBlockMap.xml","136422","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\AppxManifest.xml","AppxManifest.xml","17649","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\AppxSignature.p7x","AppxSignature.p7x","13231","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\clrcompression.dll","clrcompression.dll","69912","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.dll","GamingCenter3_Cross.dll","28673536","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","GamingCenter3_Cross.exe","22016","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Microsoft.Graphics.Canvas.dll","Microsoft.Graphics.Canvas.dll","1625480","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Microsoft.Graphics.Canvas.winmd","Microsoft.Graphics.Canvas.winmd","281472","2025/11/26 21:09:42","Archive"
"C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\resources.pri","resources.pri","1018784","2025/11/26 21:09:42","Archive"
