"Time","State","Local","Remote","OwningPid","ProcessName"
"2026-04-05T23:44:37.0320743+08:00","TimeWait","127.0.0.1:10075","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.0041205+08:00","TimeWait","127.0.0.1:11673","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9884956+08:00","TimeWait","127.0.0.1:11685","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9884956+08:00","TimeWait","127.0.0.1:11686","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9884956+08:00","TimeWait","127.0.0.1:11687","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9884956+08:00","TimeWait","127.0.0.1:12100","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:36.9572402+08:00","TimeWait","127.0.0.1:13199","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9572402+08:00","TimeWait","127.0.0.1:13200","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9552375+08:00","TimeWait","127.0.0.1:13201","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9415551+08:00","TimeWait","127.0.0.1:13202","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9415551+08:00","TimeWait","127.0.0.1:13203","127.0.0.1:5354","0","Idle"
"2026-04-05T23:44:36.9415551+08:00","TimeWait","127.0.0.1:13204","127.0.0.1:5354","0","Idle"
"2026-04-05T23:44:36.9320513+08:00","TimeWait","127.0.0.1:13210","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.9320513+08:00","TimeWait","127.0.0.1:13211","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.9268641+08:00","TimeWait","127.0.0.1:13215","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.9249037+08:00","TimeWait","127.0.0.1:13216","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.9199038+08:00","TimeWait","127.0.0.1:13217","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:36.9148897+08:00","TimeWait","127.0.0.1:13221","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9103832+08:00","TimeWait","127.0.0.1:13222","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.9013878+08:00","TimeWait","127.0.0.1:13225","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8973736+08:00","TimeWait","127.0.0.1:13226","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8923744+08:00","TimeWait","127.0.0.1:13227","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8756226+08:00","TimeWait","127.0.0.1:13228","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8756226+08:00","TimeWait","127.0.0.1:13229","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8756226+08:00","TimeWait","127.0.0.1:13230","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8756226+08:00","TimeWait","127.0.0.1:13231","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8599972+08:00","TimeWait","127.0.0.1:13232","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8599972+08:00","TimeWait","127.0.0.1:13233","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8599972+08:00","TimeWait","127.0.0.1:13234","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8443714+08:00","TimeWait","127.0.0.1:13235","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8443714+08:00","TimeWait","127.0.0.1:13236","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8443714+08:00","TimeWait","127.0.0.1:13237","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8443714+08:00","TimeWait","127.0.0.1:13238","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8287534+08:00","TimeWait","127.0.0.1:13239","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8287534+08:00","TimeWait","127.0.0.1:13240","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8287534+08:00","TimeWait","127.0.0.1:13241","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8131211+08:00","TimeWait","127.0.0.1:13242","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8131211+08:00","TimeWait","127.0.0.1:13243","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8131211+08:00","TimeWait","127.0.0.1:13244","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8131211+08:00","TimeWait","127.0.0.1:13245","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.8100108+08:00","TimeWait","127.0.0.1:13246","127.0.0.1:5354","0","Idle"
"2026-04-05T23:44:36.8060114+08:00","TimeWait","127.0.0.1:13247","127.0.0.1:5354","0","Idle"
"2026-04-05T23:44:36.8020108+08:00","TimeWait","127.0.0.1:13253","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.7970033+08:00","TimeWait","127.0.0.1:13254","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.7812362+08:00","TimeWait","127.0.0.1:13258","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.7812362+08:00","TimeWait","127.0.0.1:13259","127.0.0.1:27015","0","Idle"
"2026-04-05T23:44:36.7812362+08:00","TimeWait","127.0.0.1:13262","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:36.7499831+08:00","TimeWait","127.0.0.1:14454","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:36.7343564+08:00","TimeWait","127.0.0.1:14580","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.1723170+08:00","TimeWait","127.0.0.1:1686","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:36.6891497+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:11678","0","Idle"
"2026-04-05T23:44:36.6723083+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:12108","0","Idle"
"2026-04-05T23:44:36.6723083+08:00","TimeWait","127.0.0.1:20122","127.0.0.1:2153","0","Idle"
"2026-04-05T23:44:37.1723170+08:00","TimeWait","127.0.0.1:2163","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.1566804+08:00","TimeWait","127.0.0.1:2522","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:36.6094420+08:00","TimeWait","127.0.0.1:49362","127.0.0.1:13264","0","Idle"
"2026-04-05T23:44:37.1102367+08:00","TimeWait","127.0.0.1:6208","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.0946232+08:00","TimeWait","127.0.0.1:7212","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:37.0946232+08:00","TimeWait","127.0.0.1:7803","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.0946232+08:00","TimeWait","127.0.0.1:8332","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.0477440+08:00","TimeWait","127.0.0.1:8867","127.0.0.1:20122","0","Idle"
"2026-04-05T23:44:37.0320743+08:00","TimeWait","127.0.0.1:9426","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:37.0320743+08:00","TimeWait","127.0.0.1:9427","127.0.0.1:49350","0","Idle"
"2026-04-05T23:44:37.2035631+08:00","Established","127.0.0.1:1558","127.0.0.1:1559","2620","WUDFHost"
"2026-04-05T23:44:37.1879397+08:00","Established","127.0.0.1:1559","127.0.0.1:1558","2620","WUDFHost"
"2026-04-05T23:44:37.1879397+08:00","Established","127.0.0.1:1561","127.0.0.1:1562","3256","NVDisplay.Container"
"2026-04-05T23:44:37.1879397+08:00","Established","127.0.0.1:1562","127.0.0.1:1561","3256","NVDisplay.Container"
"2026-04-05T23:44:37.1400433+08:00","Listen","127.0.0.1:5284","0.0.0.0:0","3356","AndrowsSvr"
"2026-04-05T23:44:37.2414631+08:00","Established","127.0.0.1:1206","127.0.0.1:20123","4288","msedgewebview2"
"2026-04-05T23:44:37.1566804+08:00","Established","127.0.0.1:3775","127.0.0.1:20123","4288","msedgewebview2"
"2026-04-05T23:44:37.0633616+08:00","Established","127.0.0.1:8471","127.0.0.1:20123","4288","msedgewebview2"
"2026-04-05T23:44:37.2324978+08:00","Established","127.0.0.1:1547","127.0.0.1:5354","6432","AppleMobileDeviceService"
"2026-04-05T23:44:37.2285380+08:00","Established","127.0.0.1:1550","127.0.0.1:5354","6432","AppleMobileDeviceService"
"2026-04-05T23:44:36.6410223+08:00","Listen","127.0.0.1:27015","0.0.0.0:0","6432","AppleMobileDeviceService"
"2026-04-05T23:44:37.1270351+08:00","Listen","127.0.0.1:5354","0.0.0.0:0","6512","mDNSResponder"
"2026-04-05T23:44:37.1310432+08:00","Established","127.0.0.1:5354","127.0.0.1:1547","6512","mDNSResponder"
"2026-04-05T23:44:37.1360435+08:00","Established","127.0.0.1:5354","127.0.0.1:1550","6512","mDNSResponder"
"2026-04-05T23:44:36.5781877+08:00","Listen",":::13688",":::0","6556","GCUBridge"
"2026-04-05T23:44:36.7656080+08:00","Listen","0.0.0.0:13688","0.0.0.0:0","6556","GCUBridge"
