"Time","State","Local","Remote","OwningPid","ProcessName","Sample"
"2026-04-05T23:44:41.4376925+08:00","TimeWait","127.0.0.1:10075","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.3908174+08:00","TimeWait","127.0.0.1:11673","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3908174+08:00","TimeWait","127.0.0.1:11685","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3751924+08:00","TimeWait","127.0.0.1:11686","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3751924+08:00","TimeWait","127.0.0.1:11687","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3751924+08:00","TimeWait","127.0.0.1:12100","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.3439018+08:00","TimeWait","127.0.0.1:13199","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3439018+08:00","TimeWait","127.0.0.1:13200","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3388930+08:00","TimeWait","127.0.0.1:13201","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3318931+08:00","TimeWait","127.0.0.1:13202","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.3131419+08:00","TimeWait","127.0.0.1:13203","127.0.0.1:5354","0","Idle","1"
"2026-04-05T23:44:41.3131419+08:00","TimeWait","127.0.0.1:13204","127.0.0.1:5354","0","Idle","1"
"2026-04-05T23:44:41.3131419+08:00","TimeWait","127.0.0.1:13210","127.0.0.1:27015","0","Idle","1"
"2026-04-05T23:44:41.2975114+08:00","TimeWait","127.0.0.1:13211","127.0.0.1:27015","0","Idle","1"
"2026-04-05T23:44:41.2975114+08:00","TimeWait","127.0.0.1:13215","127.0.0.1:27015","0","Idle","1"
"2026-04-05T23:44:41.2975114+08:00","TimeWait","127.0.0.1:13216","127.0.0.1:27015","0","Idle","1"
"2026-04-05T23:44:41.2840048+08:00","TimeWait","127.0.0.1:13217","127.0.0.1:20122","0","Idle","1"
"2026-04-05T23:44:41.2840048+08:00","TimeWait","127.0.0.1:13221","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2834542+08:00","TimeWait","127.0.0.1:13222","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2659207+08:00","TimeWait","127.0.0.1:13225","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2502845+08:00","TimeWait","127.0.0.1:13226","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2502845+08:00","TimeWait","127.0.0.1:13227","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2502845+08:00","TimeWait","127.0.0.1:13228","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2346593+08:00","TimeWait","127.0.0.1:13229","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2346593+08:00","TimeWait","127.0.0.1:13230","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2346593+08:00","TimeWait","127.0.0.1:13231","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2326035+08:00","TimeWait","127.0.0.1:13232","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2276039+08:00","TimeWait","127.0.0.1:13233","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2205960+08:00","TimeWait","127.0.0.1:13234","127.0.0.1:49350","0","Idle","1"
"2026-04-05T23:44:41.2144425+08:00","TimeWait","127.0.0.1:13235","127.0.0.1:49350","0","Idle","1"
